PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr21-4	chr21	29476542	29476784	+	1	NA	intron (ENST00000468059.1, intron 2 of 3)	protein_coding-intron (ENST00000422809.5, intron 2 of 4)	-19384	ENST00000429843.1	ENSG00000234293	ENST00000429843			BACH1-IT3			lncRNA
chr12-112	chr12	42144718	42144960	+	1	NA	promoter-TSS (ENST00000280876.6)	protein_coding-promoter-TSS (ENST00000280876.6)	35	ENST00000398675.8	ENSG00000151233	ENST00000398675			GXYLT1			protein_coding
chr2-243	chr2	218568196	218568438	+	1	NA	promoter-TSS (ENST00000258399.8)	protein_coding-promoter-TSS (ENST00000258399.8)	8	ENST00000454775.5	ENSG00000135913	ENST00000258399			USP37			protein_coding
chr10-1256	chr10	102918395	102918637	+	1	NA	promoter-TSS (ENST00000652934.1)	lncRNA-promoter-TSS (ENST00000652934.1)	159	ENST00000433628.2	ENSG00000148842	ENST00000433628			CNNM2			protein_coding
chr17-2091	chr17	1716164	1716406	+	1	NA	promoter-TSS (ENST00000309182.9)	protein_coding-promoter-TSS (ENST00000309182.9)	-3	ENST00000334146.9	ENSG00000186594	ENST00000609990			MIR22HG			lncRNA
chr5-4010	chr5	32174218	32174460	+	1	NA	promoter-TSS (ENST00000265070.7)	protein_coding-promoter-TSS (ENST00000265070.7)	-20	ENST00000265070.7	ENSG00000113384	ENST00000512668			GOLPH3			protein_coding
chr13-174	chr13	33388297	33388539	+	1	NA	intron (ENST00000454681.2, intron 3 of 5)	lncRNA-intron (ENST00000454681.2, intron 3 of 5)	-37788	ENST00000567873.2	ENSG00000133121	ENST00000336934			STARD13			protein_coding
chr1-307	chr1	146035575	146035817	+	1	NA	intron (ENST00000636675.1, intron 1 of 2)	protein_coding-intron (ENST00000636675.1, intron 1 of 2)	1050	ENST00000636675.1	ENSG00000168509	ENST00000634927			HJV			protein_coding
chr7-797	chr7	2511529	2511771	+	1	NA	promoter-TSS (ENST00000402506.5)	protein_coding-promoter-TSS (ENST00000402506.5)	-879	ENST00000402506.5	ENSG00000106003	ENST00000222725			LFNG			protein_coding
chr2-3632	chr2	96907583	96907825	+	1	NA	intron (ENST00000490605.3, intron 12 of 16)	protein_coding-intron (ENST00000490605.3, intron 12 of 16)	-4845	ENST00000661235.1	ENSG00000286654	ENST00000661235			ENSG00000286654			lncRNA
chr9-106	chr9	92115296	92115538	+	1	NA	promoter-TSS (ENST00000262554.7)	protein_coding-promoter-TSS (ENST00000262554.7)	-4	ENST00000262554.7	ENSG00000090054	ENST00000642671			SPTLC1			protein_coding
chr14-1073	chr14	76867944	76868186	+	1	NA	intron (ENST00000691684.1, intron 11 of 11)	protein_coding-intron (ENST00000216450.7, intron 12 of 12)	18685	ENST00000469811.1	ENSG00000241081	ENST00000469811			RPL22P2			processed_pseudogene
chr20-4816	chr20	33719954	33720196	+	1	NA	intron (ENST00000409299.8, intron 1 of 3)	protein_coding-intron (ENST00000217398.3, intron 1 of 3)	235	ENST00000217398.3	ENSG00000101417	ENST00000217398			PXMP4			protein_coding
chr4-825	chr4	103019599	103019841	+	1	NA	promoter-TSS (ENST00000296422.12)	protein_coding-promoter-TSS (ENST00000296422.12)	-1	ENST00000394789.7	ENSG00000164037	ENST00000514340			SLC9B1			protein_coding
chr17-355	chr17	65628383	65628625	+	1	NA	intron (ENST00000577662.1, intron 3 of 6)	protein_coding-intron (ENST00000577662.1, intron 3 of 6)	12521	ENST00000585168.1	ENSG00000154240	ENST00000392769			CEP112			protein_coding
chr10-50	chr10	69427225	69427467	+	1	NA	Intergenic	Intergenic	6025	ENST00000444398.1	ENSG00000232734	ENST00000444398			ATP5MC1P7			processed_pseudogene
chr8-5481	chr8	142728406	142728648	+	1	NA	promoter-TSS (ENST00000519782.1)	lncRNA-promoter-TSS (ENST00000519782.1)	804	ENST00000520217.1	ENSG00000130193	ENST00000518798			THEM6			protein_coding
chr7-757	chr7	152711188	152711430	+	1	NA	Intergenic	Intergenic	-35116	ENST00000698506.1	ENSG00000196584	ENST00000698507			XRCC2			protein_coding
chr3-43	chr3	15427379	15427621	+	1	NA	promoter-TSS (ENST00000383789.9)	protein_coding-promoter-TSS (ENST00000383789.9)	18	ENST00000443029.5	ENSG00000206562	ENST00000598878			METTL6			protein_coding
chr19-89	chr19	45117305	45117547	+	1	NA	intron (ENST00000544897.5, intron 1 of 4)	protein_coding-intron (ENST00000221462.9, intron 1 of 12)	-11143	ENST00000589460.1	ENSG00000267346	ENST00000589460			EIF5AP3			processed_pseudogene
chr16-118	chr16	29995974	29996216	+	1	NA	promoter-TSS (ENST00000279392.8)	protein_coding-promoter-TSS (ENST00000279392.8)	-21	ENST00000563053.1	ENSG00000149929	ENST00000566471			HIRIP3			protein_coding
chr2-779	chr2	105369871	105370113	+	1	NA	intron (ENST00000358129.8, intron 3 of 5)	protein_coding-intron (ENST00000322142.13, intron 4 of 6)	-4101	ENST00000415627.1	ENSG00000238273	ENST00000457290			ENSG00000238273			lncRNA
chr6-40	chr6	26123307	26123549	+	1	NA	promoter-TSS (ENST00000314088.6)	protein_coding-promoter-TSS (ENST00000314088.6)	255	ENST00000707189.1	ENSG00000291336	ENST00000707189			ENSG00000291336			TEC
chr2-25	chr2	55419850	55420092	+	1	NA	promoter-TSS (ENST00000263630.13)	protein_coding-promoter-TSS (ENST00000263630.13)	-76	ENST00000645072.1	ENSG00000115355	ENST00000642328			CCDC88A			protein_coding
chr9-158	chr9	137578896	137579138	+	1	NA	promoter-TSS (ENST00000277540.7)	protein_coding-promoter-TSS (ENST00000277540.7)	-92	ENST00000277540.7	ENSG00000148399	ENST00000491359			DPH7			protein_coding
chr7-653	chr7	5781414	5781656	+	1	NA	promoter-TSS (ENST00000416985.5)	protein_coding-promoter-TSS (ENST00000416985.5)	85	ENST00000416985.5	ENSG00000011275	ENST00000476345			RNF216			protein_coding
chr6-63	chr6	42929427	42929669	+	1	NA	promoter-TSS (ENST00000372836.5)	protein_coding-promoter-TSS (ENST00000372836.5)	68	ENST00000372836.5	ENSG00000137161	ENST00000372836			CNPY3			protein_coding
chr1-1112	chr1	228045906	228046148	+	1	NA	intron (ENST00000284523.2, intron 2 of 3)	protein_coding-intron (ENST00000284523.2, intron 2 of 3)	30523	ENST00000623471.1	ENSG00000276255	ENST00000623471			LINC02809			lncRNA
chr17-565	chr17	56834634	56834876	+	1	NA	promoter-TSS (ENST00000397861.7)	protein_coding-promoter-TSS (ENST00000397861.7)	-211	ENST00000572944.1	ENSG00000153933	ENST00000571084			DGKE			protein_coding
chr5-2930	chr5	31531955	31532197	+	1	NA	promoter-TSS (ENST00000325366.14)	protein_coding-promoter-TSS (ENST00000325366.14)	-2	ENST00000504361.1	ENSG00000113360	ENST00000511803			DROSHA			protein_coding
chr8-1721	chr8	140464231	140464473	+	1	NA	Intergenic	Intergenic	-5773	ENST00000648948.2	ENSG00000167632	ENST00000438773			TRAPPC9			protein_coding
chr3-60	chr3	63864485	63864727	+	1	NA	promoter-TSS (ENST00000295899.10)	protein_coding-promoter-TSS (ENST00000295899.10)	-34	ENST00000674254.1	ENSG00000163635	ENST00000522345			ATXN7			protein_coding
chr18-262	chr18	597020	597262	+	1	NA	promoter-TSS (ENST00000581619.5)	protein_coding-promoter-TSS (ENST00000581619.5)	118	ENST00000540035.5	ENSG00000079101	ENST00000579912			CLUL1			protein_coding
chr12-60	chr12	56630164	56630406	+	1	NA	promoter-TSS (ENST00000546695.5)	protein_coding-promoter-TSS (ENST00000546695.5)	12	ENST00000546695.5	ENSG00000076108	ENST00000549506			BAZ2A			protein_coding
chr10-1677	chr10	109650265	109650507	+	1	NA	Intergenic	Intergenic	-11428	ENST00000603216.1	ENSG00000270333	ENST00000603216			ENSG00000270333			processed_pseudogene
chr16-4031	chr16	84883353	84883595	+	1	NA	intron (ENST00000567845.5, intron 13 of 14)	protein_coding-intron (ENST00000262424.10, intron 13 of 14)	-5770	ENST00000566165.1	ENSG00000103196	ENST00000569090			CRISPLD2			protein_coding
chr9-1102	chr9	133873230	133873472	+	1	NA	intron (ENST00000486113.1, intron 2 of 2)	protein_coding-intron (ENST00000371850.8, intron 2 of 29)	65950	ENST00000472905.1	ENSG00000160293	ENST00000472905			VAV2			protein_coding
chr9-1699	chr9	131734293	131734535	+	1	NA	intron (ENST00000683357.1, intron 1 of 26)	protein_coding-intron (ENST00000372189.7, intron 1 of 23)	3124	ENST00000372189.7	ENSG00000107263	ENST00000372189			RAPGEF1			protein_coding
chr3-6645	chr3	58306204	58306446	+	1	NA	promoter-TSS (ENST00000295959.10)	protein_coding-promoter-TSS (ENST00000295959.10)	11	ENST00000481972.5	ENSG00000255154	ENST00000477305			HTD2			protein_coding
chr15-70	chr15	84929968	84930210	+	1	NA	intron (ENST00000538177.5, intron 11 of 14)	protein_coding-intron (ENST00000286749.3, intron 11 of 17)	8433	ENST00000384310.1	ENSG00000207037	ENST00000384310			RNU6-339P			snRNA
chr6-3582	chr6	7673143	7673385	+	1	NA	Intergenic	Intergenic	-52835	ENST00000283147.7	ENSG00000153162	ENST00000283147			BMP6			protein_coding
chr22-268	chr22	25365671	25365913	+	1	NA	intron (ENST00000468442.1, intron 2 of 3)	lncRNA-intron (ENST00000444995.7, intron 3 of 6)	-3235	ENST00000467672.5	ENSG00000290796	ENST00000484509			ENSG00000290796			lncRNA
chr3-2006	chr3	196163514	196163756	+	1	NA	Intergenic	Intergenic	-20291	ENST00000685255.1	ENSG00000289219	ENST00000685255			ENSG00000289219			lncRNA
chr14-112	chr14	50312433	50312675	+	1	NA	promoter-TSS (ENST00000261699.8)	protein_coding-promoter-TSS (ENST00000261699.8)	225	ENST00000245448.11	ENSG00000125375	ENST00000557421			DMAC2L			protein_coding
chr19-1	chr19	34734077	34734319	+	1	NA	promoter-TSS (ENST00000392232.7)	protein_coding-promoter-TSS (ENST00000392232.7)	4	ENST00000448715.2	ENSG00000197841	ENST00000593781			ZNF181			protein_coding
chr9-1027	chr9	110089912	110090154	+	1	NA	promoter-TSS (ENST00000480388.1)	protein_coding-promoter-TSS (ENST00000480388.1)	-164	ENST00000480388.1	ENSG00000157654	ENST00000483909			PALM2AKAP2			protein_coding
chr14-4114	chr14	77204150	77204392	+	1	NA	intron (ENST00000557408.5, intron 2 of 3)	protein_coding-intron (ENST00000298351.5, intron 1 of 23)	-3131	ENST00000364514.1	ENSG00000201384	ENST00000364514			ENSG00000201384			snoRNA
chr20-246	chr20	25861586	25861828	+	1	NA	promoter-TSS (ENST00000453481.4)	lncRNA-promoter-TSS (ENST00000453481.4)	-124	ENST00000453481.4	ENSG00000175170	ENST00000424021			FAM182B			lncRNA
chr4-2047	chr4	88321181	88321423	+	1	NA	intron (ENST00000701526.1, intron 3 of 3)	lncRNA-intron (ENST00000701526.1, intron 3 of 3)	4528	ENST00000662571.1	ENSG00000246375	ENST00000687426			PPM1K-DT			lncRNA
chr12-171	chr12	50400917	50401159	+	1	NA	promoter-TSS (ENST00000347328.9)	protein_coding-promoter-TSS (ENST00000347328.9)	37	ENST00000550260.1	ENSG00000161813	ENST00000550522			LARP4			protein_coding
chr18-83	chr18	46171402	46171644	+	1	NA	Intergenic	Intergenic	-2030	ENST00000588730.1	ENSG00000152242	ENST00000615553			ARK2N			protein_coding
chr15-266	chr15	52331626	52331868	+	1	NA	promoter-TSS (ENST00000692874.1)	protein_coding-promoter-TSS (ENST00000692874.1)	3	ENST00000692874.1	ENSG00000197535	ENST00000691732			MYO5A			protein_coding
chr17-4003	chr17	50952186	50952428	+	1	NA	Intergenic	Intergenic	-7594	ENST00000501718.2	ENSG00000247011	ENST00000501718			ENSG00000247011			lncRNA
chr8-1657	chr8	124526668	124526910	+	1	NA	exon (ENST00000523888.5, exon 2 of 7)	protein_coding-exon (ENST00000523888.5, exon 2 of 7)	-3310	ENST00000518133.5	ENSG00000147687	ENST00000522810			TATDN1			protein_coding
chr14-60	chr14	77007910	77008152	+	1	NA	Intergenic	Intergenic	-7422	ENST00000647580.1	ENSG00000285966	ENST00000647580			ENSG00000285966			lncRNA
chr16-3154	chr16	86391524	86391766	+	1	NA	Intergenic	Intergenic	-41957	ENST00000656700.1	ENSG00000168367	ENST00000655731			LINC00917			lncRNA
chr3-6224	chr3	16461871	16462113	+	1	NA	intron (ENST00000453536.5, intron 2 of 4)	protein_coding-intron (ENST00000334133.9, intron 2 of 9)	10607	ENST00000470458.1	ENSG00000131378	ENST00000431547			RFTN1			protein_coding
chrX-2504	chrX	106302227	106302469	+	1	NA	Intergenic	Intergenic	-25186	ENST00000538229.2	ENSG00000256709	ENST00000538229			CSGALNACT2P2			processed_pseudogene
chr3-5326	chr3	115213150	115213392	+	1	NA	intron (ENST00000667087.1, intron 3 of 7)	lncRNA-intron (ENST00000653398.1, intron 2 of 6)	22386	ENST00000656753.1	ENSG00000242880	ENST00000662602			ENSG00000242880			lncRNA
chr19-15	chr19	52690463	52690705	+	1	NA	promoter-TSS (ENST00000594682.6)	protein_coding-promoter-TSS (ENST00000594682.6)	-25	ENST00000706195.1	ENSG00000167766	ENST00000597597			ZNF83			protein_coding
chr1-2134	chr1	161089393	161089635	+	1	NA	promoter-TSS (ENST00000368012.4)	protein_coding-promoter-TSS (ENST00000368012.4)	44	ENST00000368012.4	ENSG00000143217	ENST00000486694			NECTIN4			protein_coding
chr9-3818	chr9	129362279	129362521	+	1	NA	Intergenic	Intergenic	8061	ENST00000485164.3	ENSG00000242281	ENST00000485164			RN7SL159P			misc_RNA
chr5-126	chr5	146447030	146447272	+	1	NA	promoter-TSS (ENST00000296702.9)	protein_coding-promoter-TSS (ENST00000296702.9)	-160	ENST00000507175.5	ENSG00000113649	ENST00000296702			TCERG1			protein_coding
chr1-1030	chr1	145878114	145878356	+	1	NA	intron (ENST00000355594.9, intron 3 of 13)	protein_coding-intron (ENST00000355594.9, intron 3 of 13)	7631	ENST00000544626.2	ENSG00000198483	ENST00000355594			ANKRD35			protein_coding
chr17-3166	chr17	40026084	40026326	+	1	NA	TTS (ENST00000495586.1)	protein_coding-TTS (ENST00000495586.1)	204	ENST00000614287.1	ENSG00000283721	ENST00000614287			MIR6884			miRNA
chr1-2106	chr1	153521130	153521372	+	1	NA	Intergenic	Intergenic	-12179	ENST00000420695.3	ENSG00000238279	ENST00000420695			ENSG00000238279			lncRNA
chr1-560	chr1	117434025	117434267	+	1	NA	intron (ENST00000449370.6, intron 1 of 8)	protein_coding-intron (ENST00000356554.7, intron 5 of 12)	13549	ENST00000449370.6	ENSG00000198162	ENST00000356554			MAN1A2			protein_coding
chr20-156	chr20	38033462	38033704	+	1	NA	promoter-TSS (ENST00000373433.9)	protein_coding-promoter-TSS (ENST00000373433.9)	-122	ENST00000373448.6	ENSG00000101407	ENST00000373448			TTI1			protein_coding
chr16-382	chr16	2682366	2682608	+	1	NA	promoter-TSS (ENST00000301738.9)	protein_coding-promoter-TSS (ENST00000301738.9)	-36	ENST00000301738.9	ENSG00000167977	ENST00000564246			KCTD5			protein_coding
chr6-729	chr6	30326401	30326643	+	1	NA	promoter-TSS (ENST00000376656.8)	protein_coding-promoter-TSS (ENST00000376656.8)	-32	ENST00000668974.1	ENSG00000231074	ENST00000449544			HCG18			lncRNA
chr17-1769	chr17	7484170	7484412	+	1	NA	promoter-TSS (ENST00000311403.4)	protein_coding-promoter-TSS (ENST00000311403.4)	-28	ENST00000311403.4	ENSG00000174282	ENST00000380599			ZBTB4			protein_coding
chr1-188	chr1	9943242	9943484	+	1	NA	promoter-TSS (ENST00000377205.6)	protein_coding-promoter-TSS (ENST00000377205.6)	28	ENST00000377223.6	ENSG00000162441	ENST00000377213			LZIC			protein_coding
chr17-1333	chr17	57899857	57900099	+	1	NA	intron (ENST00000577830.6, intron 1 of 10)	protein_coding-intron (ENST00000360238.6, intron 1 of 10)	3411	ENST00000360238.6	ENSG00000180891	ENST00000360238			CUEDC1			protein_coding
chr11-244	chr11	62601266	62601508	+	1	NA	promoter-TSS (ENST00000526844.1)	protein_coding-promoter-TSS (ENST00000526844.1)	100	ENST00000526844.1	ENSG00000149480	ENST00000532239			MTA2			protein_coding
chr10-1907	chr10	21494717	21494959	+	1	NA	exon (ENST00000658000.1, exon 2 of 2)	lncRNA-exon (ENST00000658000.1, exon 2 of 2)	1803	ENST00000410139.1	ENSG00000222071	ENST00000410139			MIR1915			miRNA
chr17-5569	chr17	1628253	1628495	+	1	NA	promoter-TSS (ENST00000571376.1)	protein_coding-promoter-TSS (ENST00000571376.1)	-33	ENST00000571650.5	ENSG00000167703	ENST00000572801			SLC43A2			protein_coding
chr12-3290	chr12	57888435	57888677	+	1	NA	intron (ENST00000667373.1, intron 1 of 1)	lncRNA-intron (ENST00000499481.2, intron 1 of 3)	-1873	ENST00000656548.1	ENSG00000245651	ENST00000661970			ENSG00000245651			lncRNA
chr5-4409	chr5	106241592	106241834	+	1	NA	Intergenic	Intergenic	175528	ENST00000509159.1	ENSG00000251204	ENST00000509159			ENSG00000251204			processed_pseudogene
chr16-608	chr16	4585429	4585671	+	1	NA	intron (ENST00000444310.5, intron 7 of 15)	protein_coding-intron (ENST00000444310.5, intron 7 of 15)	-22422	ENST00000564581.1	ENSG00000261612	ENST00000564581			SUB1P3			processed_pseudogene
chr2-133	chr2	219569118	219569360	+	1	NA	promoter-TSS (ENST00000489456.1)	protein_coding-promoter-TSS (ENST00000489456.1)	77	ENST00000489456.1	ENSG00000123999	ENST00000489456			INHA			protein_coding
chr7-104	chr7	140479450	140479692	+	1	NA	promoter-TSS (ENST00000255977.7)	protein_coding-promoter-TSS (ENST00000255977.7)	-35	ENST00000481705.1	ENSG00000133606	ENST00000468447			MKRN1			protein_coding
chr12-361	chr12	52280956	52281198	+	1	NA	intron (ENST00000423955.7, intron 2 of 10)	protein_coding-intron (ENST00000423955.7, intron 2 of 10)	-1921	ENST00000549788.1	ENSG00000257830	ENST00000549788			ENSG00000257830			lncRNA
chr21-577	chr21	45352874	45353116	+	1	NA	intron (ENST00000689879.2, intron 1 of 1)	lncRNA-intron (ENST00000689879.2, intron 1 of 1)	5448	ENST00000689879.2	ENSG00000289448	ENST00000689879			ENSG00000289448			lncRNA
chr3-566	chr3	48663453	48663695	+	1	NA	promoter-TSS (ENST00000164024.5)	protein_coding-promoter-TSS (ENST00000164024.5)	-202	ENST00000421275.1	ENSG00000228350	ENST00000421275			LINC02585			lncRNA
chr12-1774	chr12	27022647	27022889	+	1	NA	exon (ENST00000536711.5, exon 1 of 4)	protein_coding-exon (ENST00000536711.5, exon 1 of 4)	191	ENST00000538186.5	ENSG00000152944	ENST00000536711			MED21			protein_coding
chr1-2259	chr1	228102215	228102457	+	1	NA	TTS (ENST00000491293.1)	protein_coding-TTS (ENST00000491293.1)	666	ENST00000492757.5	ENSG00000143793	ENST00000472617			C1orf35			protein_coding
chr3-249	chr3	10552098	10552340	+	1	NA	intron (ENST00000646379.1, intron 2 of 21)	protein_coding-intron (ENST00000646379.1, intron 2 of 21)	-18086	ENST00000460129.5	ENSG00000157087	ENST00000452124			ATP2B2			protein_coding
chr7-1070	chr7	44018972	44019214	+	1	NA	promoter-TSS (ENST00000326391.6)	lncRNA-promoter-TSS (ENST00000326391.6)	20	ENST00000418424.2	ENSG00000272655	ENST00000418424			ENSG00000272655			transcribed_unprocessed_pseudogene
chr14-2467	chr14	100588185	100588427	+	1	NA	promoter-TSS (ENST00000554140.3)	protein_coding-promoter-TSS (ENST00000554140.3)	-889	ENST00000554140.3	ENSG00000183092	ENST00000554356			BEGAIN			protein_coding
chr1-37	chr1	205947073	205947315	+	1	NA	Intergenic	Intergenic	-3734	ENST00000367134.2	ENSG00000174502	ENST00000340781			SLC26A9			protein_coding
chr12-11	chr12	123075896	123076138	+	1	NA	promoter-TSS (ENST00000541244.1)	protein_coding-promoter-TSS (ENST00000541244.1)	78	ENST00000541244.1	ENSG00000090975	ENST00000535289			PITPNM2			protein_coding
chr3-3725	chr3	52601455	52601697	+	1	NA	intron (ENST00000707071.1, intron 19 of 31)	protein_coding-intron (ENST00000296302.11, intron 17 of 29)	7885	ENST00000462207.1	ENSG00000163939	ENST00000424867			PBRM1			protein_coding
chr9-1286	chr9	117400252	117400494	+	1	NA	intron (ENST00000361477.8, intron 1 of 22)	protein_coding-intron (ENST00000313400.9, intron 1 of 22)	14666	ENST00000361477.8	ENSG00000148219	ENST00000341734			ASTN2			protein_coding
chr10-76	chr10	133520227	133520469	+	1	NA	promoter-TSS (ENST00000463117.6)	protein_coding-promoter-TSS (ENST00000463117.6)	-58	ENST00000463117.6	ENSG00000130649	ENST00000252945			CYP2E1			protein_coding
chr3-101	chr3	40505845	40506087	+	1	NA	promoter-TSS (ENST00000314529.10)	protein_coding-promoter-TSS (ENST00000314529.10)	-26	ENST00000420891.5	ENSG00000177842	ENST00000420891			ZNF620			protein_coding
chr19-57	chr19	50969423	50969665	+	1	NA	promoter-TSS (ENST00000310157.7)	protein_coding-promoter-TSS (ENST00000310157.7)	47	ENST00000310157.7	ENSG00000167755	ENST00000376851			KLK6			protein_coding
chr9-1559	chr9	97109239	97109481	+	1	NA	intron (ENST00000681517.1, intron 2 of 9)	protein_coding-intron (ENST00000681517.1, intron 2 of 9)	-12299	ENST00000395253.3	ENSG00000213612	ENST00000395253			FAM220CP			processed_pseudogene
chr10-2622	chr10	29160061	29160303	+	1	NA	Intergenic	Intergenic	-128879	ENST00000375500.8	ENSG00000120563	ENST00000375500			LYZL1			protein_coding
chr3-7387	chr3	132029311	132029553	+	1	NA	intron (ENST00000617767.5, intron 1 of 15)	protein_coding-intron (ENST00000429747.6, intron 1 of 15)	5582	ENST00000429747.6	ENSG00000196353	ENST00000617767			CPNE4			protein_coding
chr3-5584	chr3	143605501	143605743	+	1	NA	intron (ENST00000483124.1, intron 3 of 5)	protein_coding-intron (ENST00000316549.11, intron 6 of 15)	-14906	ENST00000505671.1	ENSG00000248374	ENST00000505671			UBTD2P1			unprocessed_pseudogene
chr1-2610	chr1	109138185	109138427	+	1	NA	intron (ENST00000527996.5, intron 1 of 20)	protein_coding-intron (ENST00000369939.8, intron 1 of 21)	-23300	ENST00000533374.1	ENSG00000116299	ENST00000534476			ELAPOR1			protein_coding
chr7-141	chr7	116724115	116724357	+	1	NA	promoter-TSS (ENST00000495962.1)	protein_coding-promoter-TSS (ENST00000495962.1)	90	ENST00000495962.1	ENSG00000105976	ENST00000456159			MET			protein_coding
